InvoiceID,InvDate,ClientID
146,11/2/2011,46
147,11/2/2011,46
148,11/2/2011,47
149,11/2/2011,48
150,11/2/2011,52
151,11/3/2011,53
152,11/3/2011,53
153,11/3/2011,41
154,11/3/2011,54
155,11/3/2011,55
156,11/3/2011,56
157,11/3/2011,57
158,11/3/2011,58
159,11/3/2011,58
160,11/3/2011,59
161,11/3/2011,60
162,11/18/2011,61
163,11/4/2011,62
164,11/4/2011,63
165,11/4/2011,64
166,11/4/2011,65
167,11/4/2011,66
168,11/4/2011,67
169,11/4/2011,68
170,11/4/2011,69
171,11/4/2011,70
172,11/4/2011,71
173,11/4/2011,72
174,11/4/2011,73
175,11/4/2011,74
176,11/4/2011,75
177,11/4/2011,76
178,11/4/2011,77
179,11/4/2011,78
180,11/4/2011,79
181,11/4/2011,80
182,11/4/2011,81
183,11/4/2011,82
184,11/4/2011,83
185,11/4/2011,84
186,11/4/2011,85
187,11/4/2011,86
188,11/4/2011,87
189,11/4/2011,88
190,11/4/2011,90
191,11/4/2011,89
192,11/5/2011,92
193,11/5/2011,36
194,11/5/2011,42
195,11/5/2011,41
196,11/5/2011,39
197,11/5/2011,67
198,11/5/2011,70
199,11/5/2011,95
200,11/5/2011,94
201,11/5/2011,96
202,11/5/2011,97
203,11/5/2011,38
204,11/5/2011,98
205,11/5/2011,99
206,11/5/2011,101
207,11/5/2011,90
208,11/5/2011,102
209,11/5/2011,88
210,11/5/2011,104
211,11/5/2011,105
212,11/5/2011,106
213,11/5/2011,107
214,11/5/2011,108
215,11/5/2011,109
216,12/14/2011,76
217,11/5/2011,107
218,11/5/2011,110
219,11/5/2011,111
220,11/5/2011,112
221,11/5/2011,113
222,11/5/2011,114
223,11/5/2011,115
224,11/5/2011,116
225,11/5/2011,117
226,11/5/2011,118
227,11/5/2011,119
228,11/5/2011,119
229,11/5/2011,120
230,11/5/2011,121
231,11/5/2011,122
232,11/5/2011,123
233,11/5/2011,124
234,11/5/2011,125
235,11/5/2011,127
236,11/5/2011,128
237,11/5/2011,129
238,11/5/2011,130
239,11/5/2011,76
240,11/5/2011,131
241,11/5/2011,132
242,11/5/2011,133
243,11/5/2011,134
244,11/5/2011,135
245,11/5/2011,136
246,11/5/2011,137
247,11/5/2011,138
248,11/5/2011,139
249,11/5/2011,140
250,11/5/2011,141
251,11/5/2011,58
252,11/5/2011,142
253,11/5/2011,143
254,11/5/2011,144
255,11/5/2011,145
256,11/5/2011,146
257,11/5/2011,89
258,11/6/2011,72
259,11/6/2011,125
260,11/6/2011,121
261,11/6/2011,147
262,11/6/2011,129
263,11/6/2011,123
264,11/6/2011,127
265,11/6/2011,148
266,11/6/2011,38
267,11/6/2011,42
268,11/6/2011,149
269,11/6/2011,88
270,11/6/2011,151
271,11/6/2011,135
272,11/6/2011,152
273,11/6/2011,135
274,11/6/2011,153
275,11/6/2011,154
276,11/6/2011,155
277,11/6/2011,156
278,11/6/2011,140
279,11/6/2011,157
280,11/13/2011,158
281,11/13/2011,138
282,11/14/2011,145
283,11/14/2011,136
284,11/14/2011,159
285,11/14/2011,140
286,11/14/2011,137
287,11/14/2011,58
288,11/14/2011,67
289,11/14/2011,90
290,11/14/2011,145
291,11/14/2011,160
292,11/14/2011,161
293,11/14/2011,162
294,11/14/2011,163
295,11/14/2011,118
296,11/14/2011,46
297,11/14/2011,48
298,11/14/2011,72
299,11/14/2011,164
300,11/14/2011,165
301,11/14/2011,166
302,11/14/2011,88
303,11/14/2011,167
304,11/14/2011,61
305,11/14/2011,155
306,11/14/2011,168
307,11/14/2011,169
308,11/15/2011,142
309,11/15/2011,170
310,11/15/2011,161
311,11/15/2011,171
312,11/15/2011,64
313,11/15/2011,63
314,11/15/2011,157
315,11/15/2011,172
316,11/15/2011,173
317,11/15/2011,108
318,11/15/2011,174
319,11/15/2011,175
320,11/15/2011,176
321,11/15/2011,62
322,11/15/2011,143
323,11/15/2011,177
324,11/15/2011,41
325,11/15/2011,178
326,11/15/2011,151
327,11/15/2011,39
328,11/15/2011,36
329,11/15/2011,96
330,11/15/2011,179
331,11/15/2011,180
332,11/15/2011,181
333,11/15/2011,60
334,11/15/2011,90
335,11/15/2011,182
336,11/15/2011,183
337,11/15/2011,65
338,11/15/2011,184
339,11/15/2011,128
340,11/15/2011,185
341,11/16/2011,82
342,11/18/2011,82
343,11/16/2011,118
344,11/16/2011,186
345,11/18/2011,135
346,11/18/2011,89
347,11/18/2011,83
348,11/18/2011,81
349,11/16/2011,191
350,11/16/2011,187
351,11/18/2011,73
352,11/18/2011,188
353,11/18/2011,189
354,11/18/2011,75
355,11/18/2011,190
356,11/16/2011,183
357,11/18/2011,84
358,11/18/2011,183
359,11/16/2011,158
360,11/18/2011,192
361,11/18/2011,186
362,11/18/2011,193
363,11/18/2011,95
364,11/16/2011,170
365,11/16/2011,61
366,11/18/2011,148
367,11/18/2011,194
368,11/18/2011,195
